접수번호,접수일자,농장코드,농장명,구분,담당수의사,질병명,검사종류,결과,PDF_파일ID,파일명
25-05109_혈청,2025-06-05,DB1001,성진,직영,양승혁,PRRS,혈청,,1SRZSaAuS35_S70q4qW2gvei2qEicLGBQ,
25-05108_혈청,2025-06-05,DB1001,성진,직영,양승혁,PRRS,혈청,,1ghVFSreXK81jL3cLlWig4yyh8x-Bd1aE,
25-05107_혈청,2025-06-05,DB1001,성진,직영,양승혁,PRRS,혈청,,1ToLOxR3n60b2TsJwkIqpiHhkhQP9tcFc,
25-05106_혈청,2025-06-05,DB1001,성진,직영,양승혁,PRRS,혈청,,1RQVRykaGDs11X-ybHRLD_7Qk-AP4Hizi,
25-05040_항원,2025-06-04,DB1001,성진,직영,양승혁,PRRS,항원,,13AdTvnNsCXF1hvijJiL8D9Pg6LYF-_SM,
25-05021_항원,2025-06-02,DB1001,성진,직영,양승혁,PRRS,항원,,1enzQxvpq8bkzrp_8b71LHz3qYu2Bo_5U,
25-05019_항원,2025-06-02,DB1001,성진,직영,양승혁,PRRS,항원,,1TM8cdYo6kGdZnJfT-okuVqQRVrpAqKZR,
25-05022_항원,2025-06-02,DB1001,성진,직영,양승혁,PRRS,항원,,1a1CzFz47Hx_duA4iyW6r7Ml4RLf8-WKG,
25-05007_항원,2025-06-02,DB1001,성진,직영,양승혁,PRRS,항원,,1MQnfVAJzercgK049Vt7vJVVcbUXDJz-E,
25-05022_혈청,2025-06-02,DB1001,성진,직영,양승혁,PRRS,혈청,,1vA6hh85AM-5E7Z5_WOk95p59iZfmoBkq,
25-05021_혈청,2025-06-02,DB1001,성진,직영,양승혁,PRRS,혈청,,1gg-r6og0DENXgq1tRg9ZXda4tz4Vh3VH,
25-04821_항원,2025-06-02,DB1001,성진,직영,양승혁,PRRS,항원,,1k4GmQ3NSwiVBQLHdL90yxkAOGT8UGOFt,
25-05019_혈청,2025-06-02,DB1001,성진,직영,양승혁,PRRS,혈청,,1H4K69uyyyzHLpM-i_085fQz5bidEGQAD,
25-05007_혈청,2025-06-02,DB1001,성진,직영,양승혁,PRRS,혈청,,1PnjP7hoY_PQ0iri5y-lAUZXFUTVivM30,
25-04992_항원,2025-05-31,DB1001,성진,직영,양승혁,PRRS,항원,,1nNiOyJm9mw35cRO3n1XzMoZ0ySJm5DXS,
25-04992_혈청,2025-05-31,DB1001,성진,직영,양승혁,PRRS,혈청,,1mPDHie14KvaKyNJ1D_4EiLlpX9j_g6td,
25-04893_혈청,2025-05-29,DB1001,성진,직영,양승혁,PRRS,혈청,,1yMjkQmn0ZjpaSeS0w-BNixNLby7tNUva,
25-04892_혈청,2025-05-29,DB1001,성진,직영,양승혁,PRRS,혈청,,1Q8Mlh2CuxZKL2imGz63R0-rcFZsMEZpb,
25-04893_항원,2025-05-29,DB1001,성진,직영,양승혁,PRRS,항원,,1IpM4RDnOWEjBOBDE7YCJWh4ubz80VQr8,
25-04892_항원,2025-05-29,DB1001,성진,직영,양승혁,PRRS,항원,,1cv3TLg6jL6Xx3zyEi4FcRV5eSKC6CMB-,
25-04284_,2025-05-29,DB2006,대월,직영,고상억,PRRS,,,16OyDEWOFU3Vt6e5Ig7Yd6yVUXTkyeQFI,
25-04822_항원,2025-05-28,DB1001,성진,직영,양승혁,PRRS,항원,,1JL_Y7w9chSbnBT6GE75iVHPq_r3wsbZL,
25-04822_혈청,2025-05-28,DB1001,성진,직영,양승혁,PRRS,혈청,,1mxRcRvCuZqvb0I4nsl2P-ZwQoJL_F3OW,
25-04755_항원,2025-05-27,DB1001,성진,직영,양승혁,PRRS,항원,,1q5ibhNqgiXHdrnOJ0V13Z9DCcYHOc67_,
